run,generation,mean_perplexity,regime,baseline,gap,G_amplification,p_persistence,cross_run_std,delta_diversity,window_class
2,7,36.888,ten_pct_preservation,33.853,3.0349999999999966,0.0919999999999916,0.3982417005642302,0.0445275195805929,22.45802167780853,event
2,8,36.809,ten_pct_preservation,33.853,2.955999999999996,0.1970000000000027,0.3878756068757378,0.1323982628284857,7.552969190354423,event
2,9,36.875,ten_pct_preservation,33.853,3.0219999999999985,0.1450000000000031,0.3965358876787823,0.172122921192968,5.80980146670236,event
3,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
3,1,42.026,ten_pct_preservation,33.853,8.173000000000002,,1.0,0.8721462033397852,1.1465967473923675,event
3,2,39.845,ten_pct_preservation,33.853,5.991999999999997,-10.354000000000006,0.7331457237244581,1.467337725269818,0.6815063654252584,event
3,3,38.097,ten_pct_preservation,33.853,4.244,0.4330000000000069,0.5192707696072432,1.8517053491309052,0.5400427235733527,event
3,4,37.085,ten_pct_preservation,33.853,3.2319999999999993,0.7359999999999971,0.395448427749908,1.330066990794074,0.7518418297133905,event
3,5,36.862,ten_pct_preservation,33.853,3.0090000000000003,0.7890000000000015,0.3681634650679065,0.3066998532767813,3.2605167212047865,event
3,6,36.915,ten_pct_preservation,33.853,3.0619999999999976,0.2759999999999962,0.3746482319833594,0.1076884394909698,9.2860478313817,event
3,7,36.796,ten_pct_preservation,33.853,2.942999999999998,-0.171999999999997,0.3600880949467756,0.0445275195805929,22.45802167780853,event
3,8,37.112,ten_pct_preservation,33.853,3.2590000000000003,0.4350000000000023,0.398751988254007,0.1323982628284857,7.552969190354423,event
3,9,36.849,ten_pct_preservation,33.853,2.995999999999995,-0.5790000000000077,0.3665728618622286,0.172122921192968,5.80980146670236,event
4,0,33.853,ten_pct_preservation,33.853,0.0,,0.0,0.011627553483,86.00261451921453,control
4,1,40.068,ten_pct_preservation,33.853,6.214999999999996,,1.0,0.8721462033397852,1.1465967473923675,event
4,2,37.992,ten_pct_preservation,33.853,4.138999999999996,-8.290999999999997,0.665969428801287,1.467337725269818,0.6815063654252584,event
4,3,36.941,ten_pct_preservation,33.853,3.088000000000001,1.0250000000000057,0.4968624296057929,1.8517053491309052,0.5400427235733527,event
4,4,36.717,ten_pct_preservation,33.853,2.863999999999997,0.8269999999999911,0.4608205953338695,1.330066990794074,0.7518418297133905,event
4,5,36.928,ten_pct_preservation,33.853,3.0749999999999957,0.4350000000000023,0.4947707160096536,0.3066998532767813,3.2605167212047865,event
4,6,37.072,ten_pct_preservation,33.853,3.219000000000001,-0.066999999999993,0.5179404666130335,0.1076884394909698,9.2860478313817,event
4,7,36.888,ten_pct_preservation,33.853,3.0349999999999966,-0.32800000000001,0.4883346741753819,0.0445275195805929,22.45802167780853,event
4,8,37.02,ten_pct_preservation,33.853,3.1670000000000016,0.3160000000000096,0.5095736122284801,0.1323982628284857,7.552969190354423,event
4,9,37.243,ten_pct_preservation,33.853,3.390000000000001,0.0909999999999939,0.5454545454545459,0.172122921192968,5.80980146670236,event
5,0,33.827,ten_pct_preservation,33.827,0.0,,0.0,0.011627553483,86.00261451921453,control
5,1,40.344,ten_pct_preservation,33.827,6.517000000000003,,1.0,0.8721462033397852,1.1465967473923675,event
5,2,37.979,ten_pct_preservation,33.827,4.152000000000001,-8.882000000000005,0.6371029614853458,1.467337725269818,0.6815063654252584,event
5,3,36.98,ten_pct_preservation,33.827,3.1529999999999987,1.3659999999999997,0.4838115697406778,1.8517053491309052,0.5400427235733527,event
5,4,36.915,ten_pct_preservation,33.827,3.088000000000001,0.9340000000000046,0.4738376553628969,1.330066990794074,0.7518418297133905,event
5,5,36.941,ten_pct_preservation,33.827,3.1140000000000043,0.091000000000001,0.4778272211140099,0.3066998532767813,3.2605167212047865,event
5,6,36.928,ten_pct_preservation,33.827,3.100999999999999,-0.0390000000000085,0.4758324382384529,0.1076884394909698,9.2860478313817,event
5,7,36.901,ten_pct_preservation,33.827,3.074000000000005,-0.0139999999999886,0.4716894276507601,0.0445275195805929,22.45802167780853,event
5,8,37.02,ten_pct_preservation,33.827,3.193000000000005,0.1459999999999937,0.4899493632039287,0.1323982628284857,7.552969190354423,event
5,9,36.836,ten_pct_preservation,33.827,3.0090000000000003,-0.3030000000000044,0.4617155132729782,0.172122921192968,5.80980146670236,event
