domain_family,instantiation,detector_family,config_id,split_id,unit_scope,n_control_units_cal,n_control_alarm_units,n_event_units_cal,n_event_alarm_units,fp_grid_step,fp_cal,near_accept_flag,distance_to_band,accepted,acceptance_reason,selection_rank,selected_flag,median_lead_cal,iqr_lead_cal_low,iqr_lead_cal_high,param_json,notes
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__4cb1b6a4,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,513.0,297.0,730.0,"{""k_consec"": 1, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__856f4dd4,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,501.0,293.25,712.5,"{""k_consec"": 1, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__a4baff85,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,501.0,293.25,712.5,"{""k_consec"": 1, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__a5a22911,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,501.0,293.25,712.5,"{""k_consec"": 1, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__c4c9df9f,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,513.0,296.25,730.0,"{""k_consec"": 1, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__e5e36b4e,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,501.0,293.25,712.5,"{""k_consec"": 1, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,permutation_entropy,permutation_entropy__001577c8,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""W_H"": 128, ""d"": 3, ""k_consec"": 10, ""tau"": 1, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,permutation_entropy,permutation_entropy__062439ea,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""W_H"": 256, ""d"": 5, ""k_consec"": 5, ""tau"": 2, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,permutation_entropy,permutation_entropy__0a98b5ae,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""W_H"": 128, ""d"": 3, ""k_consec"": 1, ""tau"": 2, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,permutation_entropy,permutation_entropy__0b3ad97c,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,0,16,0,0.0263157894736842,0.0,0,0.03,0,below_band,,0,,,,"{""W_H"": 128, ""d"": 5, ""k_consec"": 5, ""tau"": 1, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
