domain_family,instantiation,unit_id,parent_slice_unit_id,config_id,slice_id,kind,segment_id,segment_start_ts_utc,segment_end_ts_utc,ts_utc,collapse_ts_utc,s_t,signal_source_col,signal_transform,source_csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:39:00+00:00,2020-03-18T23:59:00Z,0.7692446836926107,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:40:00+00:00,2020-03-18T23:59:00Z,1.2130640947847036,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:41:00+00:00,2020-03-18T23:59:00Z,0.6025656987856908,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:42:00+00:00,2020-03-18T23:59:00Z,0.6562576895356224,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:43:00+00:00,2020-03-18T23:59:00Z,1.013129749691338,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:44:00+00:00,2020-03-18T23:59:00Z,0.8471261130691607,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:45:00+00:00,2020-03-18T23:59:00Z,0.7880026349124729,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:46:00+00:00,2020-03-18T23:59:00Z,0.15262330616745476,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:47:00+00:00,2020-03-18T23:59:00Z,0.6401885911992126,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:48:00+00:00,2020-03-18T23:59:00Z,0.3738730077792459,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:49:00+00:00,2020-03-18T23:59:00Z,0.40759641885908127,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:51:00+00:00,2020-03-18T23:59:00Z,1.1341349532077372,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:52:00+00:00,2020-03-18T23:59:00Z,1.7158671245035888,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:53:00+00:00,2020-03-18T23:59:00Z,0.9009876835972757,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:54:00+00:00,2020-03-18T23:59:00Z,0.573064773202826,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:55:00+00:00,2020-03-18T23:59:00Z,0.1602494936580945,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:56:00+00:00,2020-03-18T23:59:00Z,0.0,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:57:00+00:00,2020-03-18T23:59:00Z,0.27811626065809,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:58:00+00:00,2020-03-18T23:59:00Z,0.5554802189128167,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
